ano,quantidade,municipio_id,crime_id
2004,47,1,1
2005,52,1,1
2006,68,1,1
2007,56,1,1
2008,62,1,1
2009,46,1,1
2010,54,1,1
2011,45,1,1
2012,49,1,1
2013,32,1,1
2014,44,1,1
2015,43,1,1
2016,41,1,1
2017,71,1,1
2018,47,1,1
2019,40,1,1
2020,35,1,1
2021,34,1,1
2022,32,1,1
2023,39,1,1
2004,58,2,1
2005,50,2,1
2006,82,2,1
2007,66,2,1
2008,67,2,1
2009,55,2,1
2010,51,2,1
2011,44,2,1
2012,48,2,1
2013,42,2,1
2014,35,2,1
2015,47,2,1
2016,68,2,1
2017,92,2,1
2018,61,2,1
2019,45,2,1
2020,49,2,1
2021,56,2,1
2022,54,2,1
2023,66,2,1
2004,73,3,1
2005,85,3,1
2006,71,3,1
2007,58,3,1
2008,54,3,1
2009,61,3,1
2010,52,3,1
2011,50,3,1
2012,42,3,1
2013,42,3,1
2014,49,3,1
2015,71,3,1
2016,61,3,1
2017,91,3,1
2018,97,3,1
2019,66,3,1
2020,60,3,1
2021,50,3,1
2022,32,3,1
2023,41,3,1
2004,581,4,1
2005,592,4,1
2006,550,4,1
2007,550,4,1
2008,499,4,1
2009,435,4,1
2010,337,4,1
2011,345,4,1
2012,330,4,1
2013,320,4,1
2014,323,4,1
2015,308,4,1
2016,371,4,1
2017,388,4,1
2018,314,4,1
2019,283,4,1
2020,309,4,1
2021,271,4,1
2022,282,4,1
2023,323,4,1
2004,333,5,1
2005,334,5,1
2006,277,5,1
2007,266,5,1
2008,269,5,1
2009,241,5,1
2010,200,5,1
2011,157,5,1
2012,128,5,1
2013,143,5,1
2014,134,5,1
2015,144,5,1
2016,168,5,1
2017,162,5,1
2018,160,5,1
2019,141,5,1
2020,131,5,1
2021,128,5,1
2022,124,5,1
2023,178,5,1
2004,154,6,1
2005,143,6,1
2006,185,6,1
2007,200,6,1
2008,176,6,1
2009,151,6,1
2010,116,6,1
2011,139,6,1
2012,123,6,1
2013,87,6,1
2014,118,6,1
2015,114,6,1
2016,122,6,1
2017,221,6,1
2018,126,6,1
2019,87,6,1
2020,83,6,1
2021,93,6,1
2022,73,6,1
2023,97,6,1
2004,"1,004",7,1
2005,"1,012",7,1
2006,"1,098",7,1
2007,"1,043",7,1
2008,970,7,1
2009,809,7,1
2010,673,7,1
2011,686,7,1
2012,587,7,1
2013,443,7,1
2014,512,7,1
2015,566,7,1
2016,643,7,1
2017,776,7,1
2018,589,7,1
2019,481,7,1
2020,547,7,1
2021,547,7,1
2022,530,7,1
2023,577,7,1
