ano,quantidade,municipio_id,crime_id
2011,604,1,5
2012,529,1,5
2013,504,1,5
2014,679,1,5
2015,"1,097",1,5
2016,"1,534",1,5
2017,"1,54",1,5
2018,"1,113",1,5
2019,869,1,5
2020,596,1,5
2021,628,1,5
2022,508,1,5
2023,435,1,5
2011,926,2,5
2012,837,2,5
2013,674,2,5
2014,"1,246",2,5
2015,"1,67",2,5
2016,"2,32",2,5
2017,"2,362",2,5
2018,"2,033",2,5
2019,"1,635",2,5
2020,"1,312",2,5
2021,"1,415",2,5
2022,"1,345",2,5
2023,"1,031",2,5
2011,567,3,5
2012,579,3,5
2013,626,3,5
2014,819,3,5
2015,"1,133",3,5
2016,"1,98",3,5
2017,"2,344",3,5
2018,"1,556",3,5
2019,"1,143",3,5
2020,870,3,5
2021,775,3,5
2022,718,3,5
2023,613,3,5
2011,"5,625",4,5
2012,"4,932",4,5
2013,"4,756",4,5
2014,"5,576",4,5
2015,"7,07",4,5
2016,"9,949",4,5
2017,"9,28",4,5
2018,"7,634",4,5
2019,"7,092",4,5
2020,"5,098",4,5
2021,"4,743",4,5
2022,"4,252",4,5
2023,"3,567",4,5
2011,"4,622",5,5
2012,"3,471",5,5
2013,"3,855",5,5
2014,"4,606",5,5
2015,"5,948",5,5
2016,"8,983",5,5
2017,"8,409",5,5
2018,"6,829",5,5
2019,"5,692",5,5
2020,"3,97",5,5
2021,"3,939",5,5
2022,"3,503",5,5
2023,"3,671",5,5
2011,"2,6",6,5,"2,6","2,325","2,487","3,141","4,01","5,222","5,33","3,742","3,229","2,19","2,337","2,138","2,052"
2012,"2,325",6,5
2013,"2,487",6,5
2014,"3,141",6,5
2015,"4,01",6,5
2016,"5,222",6,5
2017,"5,33",6,5
2018,"3,742",6,5
2019,"3,229",6,5
2020,"2,19",6,5
2021,"2,337",6,5
2022,"2,138",6,5
2023,"2,052",6,5
2011,"25,413",7,5
2012,"21,708",7,5
2013,"20,516",7,5
2014,"25,63",7,5
2015,"32,829",7,5
2016,"41,652",7,5
2017,"41,038",7,5
2018,"33,023",7,5
2019,"28,828",7,5
2020,"17,964",7,5
2021,"18,699",7,5
2022,"19,053",7,5
2023,"18,501",7,5
