ano,quantidade,municipio_id,crime_id
2004,8,1,4
2005,3,1,4
2006,10,1,4
2007,9,1,4
2008,12,1,4
2009,29,1,4
2010,30,1,4
2011,30,1,4
2012,30,1,4
2013,43,1,4
2014,27,1,4
2015,30,1,4
2016,42,1,4
2017,26,1,4
2018,22,1,4
2019,38,1,4
2020,25,1,4
2021,25,1,4
2022,29,1,4
2023,31,1,4
2004,12,2,4
2005,17,2,4
2006,29,2,4
2007,15,2,4
2008,24,2,4
2009,21,2,4
2010,42,2,4
2011,49,2,4
2012,48,2,4
2013,48,2,4
2014,43,2,4
2015,31,2,4
2016,42,2,4
2017,42,2,4
2018,59,2,4
2019,50,2,4
2020,54,2,4
2021,49,2,4
2022,39,2,4
2023,37,2,4
2004,4,3,4
2005,9,3,4
2006,6,3,4
2007,16,3,4
2008,14,3,4
2009,20,3,4
2010,31,3,4
2011,28,3,4
2012,29,3,4
2013,56,3,4
2014,46,3,4
2015,35,3,4
2016,27,3,4
2017,40,3,4
2018,39,3,4
2019,38,3,4
2020,33,3,4
2021,37,3,4
2022,41,3,4
2023,36,3,4
2004,36,4,4
2005,29,4,4
2006,77,4,4
2007,74,4,4
2008,66,4,4
2009,83,4,4
2010,174,4,4
2011,189,4,4
2012,172,4,4
2013,223,4,4
2014,187,4,4
2015,160,4,4
2016,216,4,4
2017,170,4,4
2018,198,4,4
2019,175,4,4
2020,218,4,4
2021,184,4,4
2022,208,4,4
2023,183,4,4
2004,22,5,4
2005,30,5,4
2006,75,5,4
2007,57,5,4
2008,76,5,4
2009,80,5,4
2010,126,5,4
2011,132,5,4
2012,164,5,4
2013,169,5,4
2014,130,5,4
2015,145,5,4
2016,147,5,4
2017,155,5,4
2018,144,5,4
2019,149,5,4
2020,104,5,4
2021,124,5,4
2022,151,5,4
2023,129,5,4
2004,17,6,4
2005,16,6,4
2006,28,6,4
2007,32,6,4
2008,42,6,4
2009,55,6,4
2010,82,6,4
2011,81,6,4
2012,97,6,4
2013,121,6,4
2014,101,6,4
2015,107,6,4
2016,118,6,4
2017,137,6,4
2018,158,6,4
2019,140,6,4
2020,110,6,4
2021,108,6,4
2022,120,6,4
2023,114,6,4
2004,96,7,4
2005,85,7,4
2006,172,7,4
2007,167,7,4
2008,200,7,4
2009,260,7,4
2010,408,7,4
2011,480,7,4
2012,557,7,4
2013,517,7,4
2014,462,7,4
2015,442,7,4
2016,494,7,4
2017,468,7,4
2018,516,7,4
2019,538,7,4
2020,449,7,4
2021,445,7,4
2022,533,7,4
2023,470,7,4
