ano,quantidade,municipio_id,crime_id
2012,171,1,3
2013,268,1,3
2014,234,1,3
2015,335,1,3
2016,343,1,3
2017,352,1,3
2018,408,1,3
2019,453,1,3
2020,456,1,3
2021,374,1,3
2022,423,1,3
2023,593,1,3
2012,582,2,3
2013,729,2,3
2014,659,2,3
2015,461,2,3
2016,474,2,3
2017,575,2,3
2018,611,2,3
2019,674,2,3
2020,694,2,3
2021,693,2,3
2022,702,2,3
2023,881,2,3
2012,324,3,3
2013,317,3,3
2014,268,3,3
2015,349,3,3
2016,375,3,3
2017,378,3,3
2018,489,3,3
2019,460,3,3
2020,401,3,3
2021,447,3,3
2022,554,3,3
2023,742,3,3
2012,"1,944",4,3
2013,"2,47",4,3
2014,"2,561",4,3
2015,"2,454",4,3
2016,"2,19",4,3
2017,"2,012",4,3
2018,"2,211",4,3
2019,"2,327",4,3
2020,"2,615",4,3
2021,"2,449",4,3
2022,"2,846",4,3
2023,"3,778",4,3
2012,"1,584",5,3
2013,"2,195",5,3
2014,"2,118",5,3
2015,"1,767",5,3
2016,"1,843",5,3
2017,"1,825",5,3
2018,"2,115",5,3
2019,"2,322",5,3
2020,"2,006",5,3
2021,"1,854",5,3
2022,"2,325",5,3
2023,"3,276",5,3
2012,977,6,3
2013,"1,412",6,3
2014,"1,519",6,3
2015,"1,425",6,3
2016,"1,477",6,3
2017,"1,266",6,3
2018,"1,893",6,3
2019,"2,09",6,3
2020,"2,143",6,3
2021,"2,072",6,3
2022,"2,083",6,3
2023,"3,01",6,3
2012,"8,18",7,3
2013,"8,407",7,3
2014,"8,415",7,3
2015,"7,554",7,3
2016,"8,506",7,3
2017,"9,468",7,3
2018,"10,46",7,3
2019,"10,602",7,3
2020,"9,297",7,3
2021,"9,557",7,3
2022,"9,43",7,3
2023,"9,994",7,3
